id,data_provider,country,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,event_date,problem
anstiftung_26532,anstiftung,DEU,Flat screen,8,Philips,,,End of life,Item too worn out,2025-06-24,F. v. 17.04.25 Chip wechseln. Leider verbrannten beim Entlöten Teile der Leiterplatte. Nach dem Auflöten des Ersatzchips funktionierte das Gerät leider nicht.
anstiftung_26326,anstiftung,DEU,Tablet,30,Samsung,2020,5,Fixed,,2025-06-24,"Chrome und andere Apps stürzen regelmäßig ab. letztes Systemupdate war vor 4 Jahren. Da alle Daten gesichert wurden, setzten wir das Gerät auf Werkseinstellungen zurück, spielten das neuste Systemupdate aufnd erklärten die Einrichtung des Google-Kontos, was zuhause nachgeholt wird."
anstiftung_26536,anstiftung,DEU,Tablet,30,Samsung,2020,5,Fixed,,2025-06-24,"Chrome und andere Apps stürzen regelmäßig ab. letztes Systemupdate war vor 4 Jahren. Da alle Daten gesichert wurden, setzten wir das Gerät auf Werkseinstellungen zurück, spielten das neuste Systemupdate aufnd erklärten die Einrichtung des Google-Kontos, was zuhause nachgeholt wird."
anstiftung_25435,anstiftung,DEU,Mobile,19,Unknown,,,End of life,Lack of equipment,2025-06-21,Datenübertragung erwünscht.
anstiftung_25453,anstiftung,DEU,Tablet,30,Unknown,,,End of life,Lack of equipment,2025-06-21,Geht nicht mehr an.
anstiftung_25428,anstiftung,DEU,TV and gaming-related accessories,33,Unknown,,,End of life,Spare parts not available,2025-06-21,Ein-AusSchalter defekt.
anstiftung_25449,anstiftung,DEU,PC accessory,22,Unknown,,,End of life,Item too worn out,2025-06-21,Flackert.
anstiftung_25450,anstiftung,DEU,Laptop,16,Unknown,,,Repairable,,2025-06-21,Akku lädt nicht.
anstiftung_25540,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Repairable,,2025-06-21,"Akku verliert zu schnell Ladung &gt;&gt; Innenwiderstand geprüft = 70%, aber Zellenverklebt und kaum tauschbar – Info nötig."
anstiftung_25414,anstiftung,DEU,Mobile,19,Siemens,2020,5,Fixed,,2025-06-21,geht immer aus. Akku defekt.
anstiftung_25427,anstiftung,DEU,Printer/scanner,25,Unknown,,,Fixed,,2025-06-21,Zeigt Fehler B200.
anstiftung_25430,anstiftung,DEU,Mobile,19,Unknown,,,Fixed,,2025-06-21,Werbung stört.
anstiftung_25448,anstiftung,DEU,Flat screen,8,Unknown,,,Fixed,,2025-06-21,Funktioniert nicht.
anstiftung_25454,anstiftung,DEU,Mobile,19,Unknown,,,Fixed,,2025-06-21,WhatsApp Einstellungen ändern.
anstiftung_25455,anstiftung,DEU,Mobile,19,Unknown,,,Fixed,,2025-06-21,bei Einstellungen helfen.
anstiftung_25462,anstiftung,DEU,Laptop,16,Unknown,,,Fixed,,2025-06-21,Upgrade auf Win 11 möglich?
anstiftung_25469,anstiftung,DEU,Laptop,16,Unknown,,,Fixed,,2025-06-21,MacBook hat Streifen auf Display.
anstiftung_25471,anstiftung,DEU,Mobile,19,Panasonic,1980,45,Fixed,,2025-06-21,"Anrufbeantworter mit Wasser im Gehäuse, defekt? - eingeschaltet, kein Defekt festgestellt."
anstiftung_26317,anstiftung,DEU,Laptop,16,Toshiba,2014,11,Unknown,,2025-06-21,Fehler: Scharnier defekt. Diagnose: Scharniere ausgebrochen Bedseotiger Rahmenbruch in Höhe des Scharniers. Beidseitiger Rahmenbruch in Höhe der Scharniere. Scharniere ausgebrochen. Keine Reparatur möglich CPU Intel Core 2 Duo - CPU nicht tauglich für aktuelle Betriebssysteme Reparatur unwirtschaftlich.
anstiftung_26389,anstiftung,DEU,Desktop computer,4,Unknown,,,Repairable,,2025-06-21,kein Systemstart &gt;&gt; Win10 nicht mehr vorhanden – DVD nötig.
anstiftung_26382,anstiftung,DEU,Mobile,19,Unknown,,,Fixed,,2025-06-21,defekt &gt;&gt; Unterbrechungen beseitigt.
anstiftung_25774,anstiftung,DEU,Laptop,16,HP,2017,8,Repairable,,2025-06-19,Fortsetzung am 3.7.25: - herausgebrochenen Gewindebuchsen mittels 2K Kleber befestigt - muss aushärten.
anstiftung_26101,anstiftung,DEU,Laptop,16,Lenovo,2010,15,Repairable,,2025-06-19,"SSD Tausch und Aktualisierung des BS gewünscht. Festplatte wurde gewechselt und WIN10 installiert, aber Lüfter noch defekt."
anstiftung_26098,anstiftung,DEU,Battery/charger/adapter,2,AVM,2019,6,Fixed,,2025-06-19,keine Funktion. Zusammen mit dem Gast haben wir das Gerät zerlegt. Die Diagnose kristallisiert folgendes Fehlerbild: auf der sekundär Seite des integrierten Schaltnetzteiles ist die Gleichrichterdiode in den Kurzschluss übergegangen. Damit wird Das Gerät nicht mehr mit Spannung versorgr. Die defekte Diode wurde gegen einen neue getauscht. Jetzt Funktioniert der Powerline Adapter wieder.
anstiftung_25334,anstiftung,DEU,Flat screen,8,Medion,,,Fixed,,2025-06-16,display gibt kein bild aus.
anstiftung_26077,anstiftung,DEU,Flat screen,8,Grundig,2021,4,Repairable,,2025-06-16,"Ton kommt, aber kein Bild. Wir haben die LED Hintergrundbeleuchtung getestet, diese ist defekt. Wir haben eine neue bestellt."
anstiftung_26604,anstiftung,DEU,Flat screen,8,Grundig,2021,4,Fixed,,2025-06-16,Fortsetzung am 21.7.25: - neue LED-Streifen für die Hintergrundbeleuchtung passten nicht exakt - die neuen LEDs auf die alten Streifen aufgelötet.
anstiftung_25363,anstiftung,DEU,Printer/scanner,25,HP,2023,2,End of life,Spare parts not available,2025-06-14,"Papiereinzug macht ein lautes Geräusch. Analyse: Das Mahlgeräusch kommt von der Tintenabsaugpumpe, die mit der Einzugswalze gekoppelt ist. Die Pumpe ist eine Peristaltik-Pumpe, bei der Tinte von einer Kunststoffrolle durch einen elastischen Schlauch gewalkt wird. Vmtl. ist die Walze gebrochen. Es gibt kein Ersatzteil dafür."
anstiftung_25625,anstiftung,DEU,Flat screen,8,Dyon,,,End of life,Spare parts not available,2025-06-14,neue Fernbedienung bringt keine Programme mehr her --- DVB-T wird nicht mehr unterstützt.
anstiftung_25644,anstiftung,DEU,Laptop,16,Toshiba,,,End of life,,2025-06-14,"Stromversorgung wird oft unterbrochen ---- Spannungen auf CPU defekt, Kurzschluss auf CPU?"
anstiftung_25829,anstiftung,DEU,Tablet,30,Unknown,,,End of life,,2025-06-14,Ladebuchse evt. defekt.
anstiftung_25375,anstiftung,DEU,Battery/charger/adapter,2,Homematic IP,,,Unknown,,2025-06-14,Homematic Funksteckdose leuchtet nicht mehr. Analyse: Elektronik defekt. Elektronik ist defekt.
anstiftung_25381,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Repairable,,2025-06-14,liefert keinen Strom mehr. -&gt; Verschoben auf nächstes Mal.
anstiftung_25396,anstiftung,DEU,Mobile,19,Unknown,,,Repairable,,2025-06-14,Geht nicht mehr. Vertagt wegen Zeitmangel.
anstiftung_25838,anstiftung,DEU,Flat screen,8,Unknown,,,Repairable,,2025-06-14,geht an und aus ohne Zutun.
anstiftung_25532,anstiftung,DEU,Flat screen,8,LG Electronics,,,Repairable,,2025-06-14,kein Backlight &gt;&gt; LED-Test mit Fremdspannung nötig = wird daheim durchgeführt.
anstiftung_25611,anstiftung,DEU,Mobile,19,Apple,,,Fixed,,2025-06-14,Kameraglas und Akku tauschen --- Akku und Linse getausch.
anstiftung_25638,anstiftung,DEU,TV and gaming-related accessories,33,Bosch,,,Fixed,,2025-06-14,Fernbedienung für Blocktronic geht nicht mehr --- neue Bedienung besorgt und angelernt.
anstiftung_25826,anstiftung,DEU,Printer/scanner,25,Unknown,,,Fixed,,2025-06-14,Ersatzteil einsetzen.
anstiftung_25827,anstiftung,DEU,Flat screen,8,Unknown,,,Fixed,,2025-06-14,schaltet nicht aus.
anstiftung_25831,anstiftung,DEU,Mobile,19,Unknown,,,Fixed,,2025-06-14,Einstellungen erläutert.
anstiftung_25839,anstiftung,DEU,Laptop,16,Unknown,,,Fixed,,2025-06-14,Beratung Einstellungen.
anstiftung_25842,anstiftung,DEU,Mobile,19,Unknown,,,Fixed,,2025-06-14,Beratung WLAN.
anstiftung_25823,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,End of life,,2025-06-14,Gerät lädt nicht.
anstiftung_25924,anstiftung,DEU,PC accessory,22,Unknown,,,End of life,Repair information not available,2025-06-14,WLAN Modul defekt.
anstiftung_25843,anstiftung,DEU,PC accessory,22,Unknown,,,End of life,Item too worn out,2025-06-14,einzelne Tasten funktionieren nicht.
anstiftung_25931,anstiftung,DEU,Printer/scanner,25,Unknown,,,End of life,Item too worn out,2025-06-14,Papiertransport defekt.
anstiftung_25915,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,End of life,,2025-06-14,keine Funktion.
anstiftung_25941,anstiftung,DEU,Printer/scanner,25,Unknown,,,Fixed,,2025-06-14,Zieht Papier nicht ein.
anstiftung_25276,anstiftung,DEU,Flat screen,8,AOC,2023,2,End of life,Spare parts too expensive,2025-06-12,"Verschobenes, verzerrtes Bild. - im Inneren kein Fehler zu finden - genau betrachtet hatte das Display einen Riss."
anstiftung_25270,anstiftung,DEU,Desktop computer,4,Terra,2005,20,Fixed,,2025-06-12,"lässt sich nicht einschalten. - startete nicht richtig, Spannungen zu gering - Netzteil allein und mit Mainboard ging - mit weiteren Geräten nicht mehr - aufgeplatzer Elko im Netzteil - gewechselt."
anstiftung_25275,anstiftung,DEU,Mobile,19,Nokia,2009,16,Fixed,,2025-06-12,keine Funktion. - Akku tiefentladen und aufgebläht - Ladegerät: Kabelbruch - für beides Ersatzteile im Internet gesucht - Gast bestellt und baut selbst ein.
anstiftung_25225,anstiftung,DEU,Battery/charger/adapter,2,All Powers,2022,3,End of life,,2025-06-10,Beim anschließen von 12 V oder Solareinspeisung schaltet das Gerät nach 10 sek.ab.
anstiftung_26005,anstiftung,DEU,Flat screen,8,Samsung,2015,10,End of life,Spare parts not available,2025-06-10,TV kein Bild. Signal Modul defekt.
anstiftung_26004,anstiftung,DEU,Flat screen,8,Samsung,2017,8,Fixed,,2025-06-10,Bild schlecht. Gerät neu eingestellt.
anstiftung_25384,anstiftung,DEU,Flat screen,8,Samsung,,,Repairable,,2025-06-07,"helle Flecken in Display &gt;&gt; abgelöste LED-Linsen festgestellt, aber lt Absprache noch Abwarten."
anstiftung_25174,anstiftung,DEU,Flat screen,8,Unknown,,,Unknown,,2025-06-07,Display. Weitervermittelt.
